type,content_json
Comparison,"{""topic"": ""Quick Sort vs IP Address"", ""concept_a"": ""Quick Sort"", ""concept_b"": ""IP Address"", ""difference"": ""Quick Sort is Pivot-based partitioning sort. while IP Address is Numerical label for network device."", ""use_case"": ""General purpose efficient sorting. vs Routing and identification.""}"
Comparison,"{""topic"": ""DP vs DNS"", ""concept_a"": ""DP"", ""concept_b"": ""DNS"", ""difference"": ""DP is Solving via subproblem memoization. while DNS is Domain name to IP resolution."", ""use_case"": ""Optimization problems (Knapsack). vs Human-friendly web navigation.""}"
Theory,"{""title"": ""Hash Map"", ""summary"": ""Deep dive into the DS theory of Hash Map."", ""key_points"": [""Database indexes, O(1) search."", ""Part of DS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""DS""}"
Concept + Code,"{""question"": ""How is Normalization implemented?"", ""answer"": ""Reducing data redundancy."", ""code"": ""// Implementing Normalization\nfunction init_normalization() {}"", ""explanation"": ""This block initializes the Normalization logic for use in DBMS."", ""language"": ""Java""}"
Comparison,"{""topic"": ""Merge Sort vs Hash Map"", ""concept_a"": ""Merge Sort"", ""concept_b"": ""Hash Map"", ""difference"": ""Merge Sort is Divide and conquer sorting algorithm. while Hash Map is Key-value mapping via hashing."", ""use_case"": ""Stable sorting requirements. vs Database indexes, O(1) search.""}"
Comparison,"{""topic"": ""Big O vs Thread"", ""concept_a"": ""Big O"", ""concept_b"": ""Thread"", ""difference"": ""Big O is Worst-case complexity notation. while Thread is Lightweight execution unit."", ""use_case"": ""Algorithm analysis. vs Parallel processing in applications.""}"
Comparison,"{""topic"": ""Queue vs Docker"", ""concept_a"": ""Queue"", ""concept_b"": ""Docker"", ""difference"": ""Queue is FIFO linear data structure. while Docker is Containerization platform."", ""use_case"": ""Scheduling, Buffering. vs App deployment consistency.""}"
Theory,"{""title"": ""Docker"", ""summary"": ""Deep dive into the Tools theory of Docker."", ""key_points"": [""App deployment consistency."", ""Part of Tools domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""Tools""}"
Theory,"{""title"": ""Segmentation"", ""summary"": ""Deep dive into the OS theory of Segmentation."", ""key_points"": [""Logical memory grouping."", ""Part of OS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""OS""}"
Concept + Code,"{""title"": ""Quadratic Probing"", ""summary"": ""A collision resolution technique in hash tables that uses a quadratic polynomial to probe for an empty slot."", ""key_points"": [""Addresses primary clustering found in linear probing."", ""Probe sequence: H(k) + 1^2, H(k) + 2^2, etc."", ""Table size should ideally be a prime number.""], ""code"": {""c"": ""int probe(int key, int i, int size) {\n    return (hash(key) + i * i) % size;\n}"", ""python"": ""def probe(key, i, size):\n    return (hash_fn(key) + i**2) % size""}, ""execution_steps"": [""1. Compute initial hash = H(k)"", ""2. Check if slot is empty. If yes, insert."", ""3. If collision, calculate next = (hash + i^2) % limit, incrementing i."", ""4. Continue until empty slot found or full.""], ""variants"": [""Linear Probing"", ""Double Hashing""], ""visual_hooks"": [""show_collision(index)"", ""animate_probe_sequence(k, limit)"", ""highlight_resolved(index)""], ""reasoning_map"": {""problem"": ""Linear probing causes primary clustering."", ""solution"": ""Spread out skipped indexes using quadratics."", ""tradeoffs"": ""Can still cause secondary clustering; table size must be prime for full coverage.""}}"
Concept + Code,"{""title"": ""AVL Tree"", ""summary"": ""A self-balancing Binary Search Tree where the difference between heights of left and right subtrees cannot be more than one for all nodes."", ""key_points"": [""Strictly balanced, guarantees O(log n) search."", ""Uses Left, Right, Left-Right, and Right-Left rotations."", ""Height balanced factor ranges from -1 to 1.""], ""code"": {""c"": ""struct Node *rightRotate(struct Node *y) {\n    struct Node *x = y->left;\n    y->left = x->right;\n    x->right = y;\n    return x;\n}"", ""python"": ""def right_rotate(y):\n    x = y.left\n    y.left = x.right\n    x.right = y\n    return x""}, ""execution_steps"": [""1. Standard BST insertion."", ""2. Update height of the current node."", ""3. Calculate the balance factor."", ""4. If unbalanced, determine violation type (LL, LR, RR, RL) and perform necessary rotations.""], ""variants"": [""Red-Black Tree"", ""Splay Tree"", ""B-Tree""], ""visual_hooks"": [""highlight_unbalanced_node(node)"", ""animate_rotation(type, node)""], ""reasoning_map"": {""problem"": ""Standard BST can degrade to O(n) linked list."", ""solution"": ""Enforce strict height balancing during insertion/deletion."", ""tradeoffs"": ""Provides faster lookups than Red-Black trees but slower insertions due to stricter rotation requirements.""}}"
Concept + Code,"{""title"": ""Quick Sort"", ""summary"": ""An efficient, divide-and-conquer sorting algorithm that partitions an array around a selected pivot element."", ""key_points"": [""Average time complexity O(n log n)."", ""In-place sorting algorithm."", ""Not a stable sort by default.""], ""code"": {""c"": ""int partition(int arr[], int low, int high) {\n    int pivot = arr[high];\n    int i = (low - 1);\n    for (int j = low; j <= high - 1; j++) {\n        if (arr[j] < pivot) {\n            i++;\n            swap(&arr[i], &arr[j]);\n        }\n    }\n    swap(&arr[i + 1], &arr[high]);\n    return (i + 1);\n}"", ""python"": ""def partition(arr, low, high):\n    pivot = arr[high]\n    i = low - 1\n    for j in range(low, high):\n        if arr[j] < pivot:\n            i += 1\n            arr[i], arr[j] = arr[j], arr[i]\n    arr[i + 1], arr[high] = arr[high], arr[i + 1]\n    return i + 1""}, ""execution_steps"": [""1. Choose a pivot element from the array."", ""2. Partition the array so all elements smaller than pivot are left, and larger are right."", ""3. Recursively apply the same logic to the left and right sub-arrays.""], ""variants"": [""Merge Sort"", ""Heap Sort""], ""visual_hooks"": [""target_pivot(index)"", ""animate_partition_swap(idx1, idx2)""], ""reasoning_map"": {""problem"": ""Algorithms like Bubble or Insertion sort are too slow (O(n^2)) for large datasets."", ""solution"": ""Use divide-and-conquer to partition and sort sub-arrays independently."", ""tradeoffs"": ""Worst case O(n^2) if poorly pivoted, but usually outperforms Merge Sort due to cache locality.""}}"
Concept + Code,"{""title"": ""Linear Probing"", ""summary"": ""A collision resolution method in hash tables where, upon collision, the next slot is checked sequentially until an empty one is found."", ""key_points"": [""Simple to implement."", ""Suffers from primary clustering \u2014 long runs of occupied slots."", ""Probe sequence: H(k), H(k)+1, H(k)+2, ...""], ""code"": {""c"": ""int probe(int key, int i, int size) {\n    return (hash(key) + i) % size;\n}"", ""python"": ""def probe(key, i, size):\n    return (hash_fn(key) + i) % size""}, ""execution_steps"": [""1. Compute hash = H(k) % size."", ""2. If slot is empty, insert key."", ""3. If collision, try (hash + 1) % size, (hash + 2) % size..."", ""4. Repeat until empty slot found or table full.""], ""variants"": [""Quadratic Probing"", ""Double Hashing""], ""visual_hooks"": [""show_collision(index)"", ""animate_linear_probe(k, size)""], ""reasoning_map"": {""problem"": ""Direct address collisions in hash tables."", ""solution"": ""Check sequentially next available slot."", ""tradeoffs"": ""Simple but prone to primary clustering, degrades performance with high load.""}}"
Concept + Code,"{""title"": ""Double Hashing"", ""summary"": ""A collision resolution technique using two hash functions to compute the step size, minimizing clustering."", ""key_points"": [""Uses secondary hash: H2(k) as step size."", ""Avoids both primary and secondary clustering."", ""H2(k) must never return 0.""], ""code"": {""c"": ""int probe(int key, int i, int size) {\n    return (h1(key) + i * h2(key)) % size;\n}"", ""python"": ""def probe(key, i, size):\n    return (h1(key) + i * h2(key)) % size""}, ""execution_steps"": [""1. Compute H1(k) for initial slot."", ""2. Compute H2(k) as step size."", ""3. If collision, move (H1 + i*H2) % size."", ""4. Continue until empty slot found.""], ""variants"": [""Linear Probing"", ""Quadratic Probing""], ""visual_hooks"": [""show_collision(index)"", ""animate_double_hash_probe(k, size)""], ""reasoning_map"": {""problem"": ""Quadratic probing still causes secondary clustering."", ""solution"": ""Use a second independent hash to vary step sizes."", ""tradeoffs"": ""More computation per probe; best distribution of all open addressing methods.""}}"
Concept + Code,"{""title"": ""Separate Chaining"", ""summary"": ""A collision resolution strategy where each hash table slot holds a linked list of all keys that hash to that slot."", ""key_points"": [""No clustering issues."", ""Performance degrades if chains grow long."", ""Uses extra memory for linked list nodes.""], ""code"": {""c"": ""struct Node {\n    int key;\n    struct Node* next;\n};\n\nvoid insert(struct Node* table[], int key, int size) {\n    int idx = key % size;\n    struct Node* n = malloc(sizeof(struct Node));\n    n->key = key;\n    n->next = table[idx];\n    table[idx] = n;\n}"", ""python"": ""def insert(table, key, size):\n    idx = key % size\n    table[idx].append(key)""}, ""execution_steps"": [""1. Compute hash = key % size."", ""2. Go to that bucket (list)."", ""3. Append key to the linked list at that index."", ""4. For search, traverse the chain at the index.""], ""variants"": [""Linear Probing"", ""Quadratic Probing"", ""Double Hashing""], ""visual_hooks"": [""show_chain(bucket_index)"", ""animate_chain_insert(key)""], ""reasoning_map"": {""problem"": ""Open addressing fills the table and degrades with high load."", ""solution"": ""Store collisions externally in linked lists per bucket."", ""tradeoffs"": ""No table overflow but extra memory; worst-case O(n) if all keys clash.""}}"
Concept + Code,"{""title"": ""Rehashing"", ""summary"": ""The process of resizing a hash table and re-inserting all elements using a new hash function when load factor exceeds a threshold."", ""key_points"": [""Triggered when load factor > 0.7 typically."", ""Creates a new table, usually double the size."", ""All elements must be re-hashed into the new table.""], ""code"": {""python"": ""def rehash(old_table):\n    new_size = len(old_table) * 2\n    new_table = [None] * new_size\n    for key in old_table:\n        if key:\n            idx = hash_fn(key) % new_size\n            new_table[idx] = key\n    return new_table""}, ""execution_steps"": [""1. Monitor load factor = n / table_size."", ""2. When load > threshold, create new table of double size."", ""3. Re-compute hash for every existing key."", ""4. Insert all keys into new table.""], ""variants"": [""Extendible Hashing""], ""visual_hooks"": [""animate_rehash_resize(old_size, new_size)""], ""reasoning_map"": {""problem"": ""Hash table performance degrades as it fills up."", ""solution"": ""Double the table size and re-distribute all keys."", ""tradeoffs"": ""O(n) rehash cost amortized to O(1) per insertion.""}}"
Concept + Code,"{""title"": ""Red-Black Tree"", ""summary"": ""A self-balancing BST where each node stores a color (Red/Black) and uses rotation+recoloring to maintain O(log n) height."", ""key_points"": [""Root is always Black."", ""No two consecutive Red nodes."", ""All paths to null pointers have equal Black nodes (Black-height property)."", ""Height at most 2*log(n+1).""], ""code"": {""c"": ""// Property: 1=Red, 0=Black\nstruct RBNode {\n    int key, color;\n    struct RBNode *left, *right, *parent;\n};"", ""python"": ""class RBNode:\n    def __init__(self, key):\n        self.key = key\n        self.color = 'RED'\n        self.left = self.right = self.parent = None""}, ""execution_steps"": [""1. Insert like a standard BST."", ""2. Color new node Red."", ""3. Fix Red-Red violations using rotations and recoloring."", ""4. Ensure root is always Black after fixup.""], ""variants"": [""AVL Tree"", ""Splay Tree"", ""B-Tree""], ""visual_hooks"": [""highlight_node_color(node)"", ""animate_rotation(type, node)"", ""show_black_height()""], ""reasoning_map"": {""problem"": ""AVL trees rebalance too aggressively, causing slower insertions."", ""solution"": ""Relax balancing to within 2x optimal height; use colors to track balance."", ""tradeoffs"": ""Faster insertions/deletions than AVL; used in Linux kernel, Java TreeMap.""}}"
Concept + Code,"{""title"": ""Splay Tree"", ""summary"": ""A self-adjusting BST that moves recently accessed elements to the root via splaying, achieving amortized O(log n) operations."", ""key_points"": [""No explicit balance condition."", ""Recently used nodes move to root \u2014 good temporal locality."", ""Amortized O(log n) for access, insertion, deletion.""], ""code"": {""python"": ""def splay(root, key):\n    if root is None or root.key == key:\n        return root\n    if key < root.key:\n        if root.left is None:\n            return root\n        root.left = splay(root.left, key)\n        root = right_rotate(root)\n    else:\n        if root.right is None:\n            return root\n        root.right = splay(root.right, key)\n        root = left_rotate(root)\n    return root""}, ""execution_steps"": [""1. Standard BST search for key."", ""2. Perform zig (single rotation) or zig-zig/zig-zag (double rotation) based on parent-grandparent alignment."", ""3. Accessed node becomes the new root.""], ""variants"": [""AVL Tree"", ""Red-Black Tree""], ""visual_hooks"": [""animate_splay_rotation(key)"", ""highlight_root_change(node)""], ""reasoning_map"": {""problem"": ""Standard BSTs have no access-pattern optimization."", ""solution"": ""Splay accessed node to root for faster future access."", ""tradeoffs"": ""Amortized-efficient but individual operations can be O(n) in worst case.""}}"
Concept + Code,"{""title"": ""B-Tree"", ""summary"": ""A self-balancing multi-way search tree designed for disk storage, where each node holds multiple keys and children to minimize I/O operations."", ""key_points"": [""Each node can have up to 2t-1 keys (t = minimum degree)."", ""All leaves are at the same depth."", ""Ideal for databases and file systems.""], ""code"": {""python"": ""class BTreeNode:\n    def __init__(self, leaf=False):\n        self.keys = []\n        self.children = []\n        self.leaf = leaf""}, ""execution_steps"": [""1. Start at root. If full, split before descending."", ""2. Find the correct child to traverse."", ""3. Insert at the leaf. If leaf is full, split leaf and push median up."", ""4. Propagate splits upward as needed.""], ""variants"": [""B+ Tree"", ""Red-Black Tree"", ""AVL Tree""], ""visual_hooks"": [""animate_btree_split(node)"", ""highlight_median_key(node)""], ""reasoning_map"": {""problem"": ""Binary trees have poor disk I/O \u2014 one key per node means many disk accesses."", ""solution"": ""Store many keys per node to reduce tree height and I/O."", ""tradeoffs"": ""Higher complexity per node operation; optimal for sequential range queries.""}}"
Concept + Code,"{""title"": ""Expression Tree"", ""summary"": ""A binary tree that represents a mathematical or logical expression, where leaves are operands and internal nodes are operators."", ""key_points"": [""In-order traversal gives infix expression."", ""Pre-order gives prefix (Polish) notation."", ""Post-order gives postfix (Reverse Polish) notation.""], ""code"": {""python"": ""def evaluate(node):\n    if node is None:\n        return 0\n    if node.left is None and node.right is None:\n        return int(node.val)\n    left = evaluate(node.left)\n    right = evaluate(node.right)\n    if node.val == '+': return left + right\n    if node.val == '-': return left - right\n    if node.val == '*': return left * right\n    if node.val == '/': return left // right""}, ""execution_steps"": [""1. Parse expression tokens."", ""2. Operators become internal nodes; operands become leaves."", ""3. Recursively evaluate left subtree, then right subtree."", ""4. Apply operator to results and return.""], ""variants"": [""Binary Tree"", ""BST""], ""visual_hooks"": [""highlight_operator_node(node)"", ""animate_evaluation(tree)""], ""reasoning_map"": {""problem"": ""Need structured computation of complex expressions."", ""solution"": ""Represent operator precedence hierarchically in a tree."", ""tradeoffs"": ""N/A \u2014 primarily a compiler/calculator construct.""}}"
Concept + Code,"{""title"": ""Doubly Linked List"", ""summary"": ""A linked list where each node contains a pointer to both the next and previous nodes, allowing bidirectional traversal."", ""key_points"": [""O(1) insertion/deletion at head or tail."", ""Uses more memory than singly linked list (extra prev pointer)."", ""Enables reverse traversal.""], ""code"": {""c"": ""struct Node {\n    int data;\n    struct Node *prev, *next;\n};\n\nvoid insertFront(struct Node **head, int val) {\n    struct Node *n = malloc(sizeof(struct Node));\n    n->data = val;\n    n->prev = NULL;\n    n->next = *head;\n    if (*head) (*head)->prev = n;\n    *head = n;\n}"", ""python"": ""class Node:\n    def __init__(self, val):\n        self.val = val\n        self.prev = None\n        self.next = None""}, ""execution_steps"": [""1. Create new node with data."", ""2. Set new->next = head, new->prev = NULL."", ""3. If head exists, set head->prev = new."", ""4. Update head = new.""], ""variants"": [""Singly Linked List"", ""Circular Linked List""], ""visual_hooks"": [""animate_bidirectional_link(node)"", ""show_prev_pointer(node)""], ""reasoning_map"": {""problem"": ""Singly linked lists can only traverse forward."", ""solution"": ""Add a prev pointer for backward traversal."", ""tradeoffs"": ""Extra memory per node; used in LRU caches, browser history.""}}"
Concept + Code,"{""title"": ""Circular Queue"", ""summary"": ""A queue implementation using a fixed-size array where the rear wraps around to the front, efficiently reusing freed slots."", ""key_points"": [""Avoids wasted space of standard array-based queue."", ""Full condition: (rear + 1) % size == front."", ""Used in CPU scheduling, buffering.""], ""code"": {""c"": ""void enqueue(int queue[], int *front, int *rear, int size, int val) {\n    if ((*rear + 1) % size == *front) { printf(\""Full\\n\""); return; }\n    *rear = (*rear + 1) % size;\n    queue[*rear] = val;\n}"", ""python"": ""def enqueue(queue, front, rear, size, val):\n    if (rear + 1) % size == front:\n        print('Full')\n        return rear\n    rear = (rear + 1) % size\n    queue[rear] = val\n    return rear""}, ""execution_steps"": [""1. Check if queue is full: (rear + 1) % size == front."", ""2. Advance rear: rear = (rear + 1) % size."", ""3. Insert element at queue[rear]."", ""4. For dequeue, check empty (front == rear), advance front = (front + 1) % size.""], ""variants"": [""Linear Queue"", ""Priority Queue"", ""Deque""], ""visual_hooks"": [""animate_wrap_around(rear, size)"", ""highlight_front_rear(front, rear)""], ""reasoning_map"": {""problem"": ""Standard array queue wastes space after dequeue operations."", ""solution"": ""Wrap rear pointer around using modulo arithmetic."", ""tradeoffs"": ""Fixed capacity; elegant space reuse but needs overflow detection.""}}"
Concept + Code,"{""title"": ""Deque (Double Ended Queue)"", ""summary"": ""A linear data structure where elements can be added or removed from both front and rear ends."", ""key_points"": [""Generalizes both Stack and Queue behavior."", ""O(1) operations at both ends."", ""Used in sliding window algorithms, palindrome checking.""], ""code"": {""python"": ""from collections import deque\ndq = deque()\ndq.appendleft(1)\ndq.append(2)\ndq.popleft()\ndq.pop()""}, ""execution_steps"": [""1. Can enqueue/dequeue at both front and rear."", ""2. insertFront: add at beginning."", ""3. insertRear: add at end."", ""4. deleteFront / deleteRear follow same boundary checks.""], ""variants"": [""Queue"", ""Stack"", ""Circular Queue""], ""visual_hooks"": [""animate_deque_insert_front(val)"", ""animate_deque_insert_rear(val)""], ""reasoning_map"": {""problem"": ""Pure Queue or Stack are too restrictive for certain algorithms."", ""solution"": ""Allow insertion and deletion from both ends."", ""tradeoffs"": ""More complex than Queue/Stack; enables efficient sliding window, monotonic deque patterns.""}}"
Concept + Code,"{""title"": ""Shell Sort"", ""summary"": ""An in-place comparison sort that generalizes insertion sort by first sorting elements far apart, then reducing the gap progressively."", ""key_points"": [""Gap sequence selection affects performance significantly."", ""Better than Insertion Sort for medium-sized arrays."", ""Not stable by default.""], ""code"": {""c"": ""void shellSort(int arr[], int n) {\n    for (int gap = n/2; gap > 0; gap /= 2)\n        for (int i = gap; i < n; i++) {\n            int temp = arr[i], j;\n            for (j = i; j >= gap && arr[j-gap] > temp; j -= gap)\n                arr[j] = arr[j-gap];\n            arr[j] = temp;\n        }\n}"", ""python"": ""def shell_sort(arr):\n    n = len(arr)\n    gap = n // 2\n    while gap > 0:\n        for i in range(gap, n):\n            temp = arr[i]\n            j = i\n            while j >= gap and arr[j - gap] > temp:\n                arr[j] = arr[j - gap]\n                j -= gap\n            arr[j] = temp\n        gap //= 2\n    return arr""}, ""execution_steps"": [""1. Start with gap = n/2."", ""2. Perform insertion sort for elements 'gap' apart."", ""3. Reduce gap by half each iteration."", ""4. Repeat until gap = 1 (final insertion sort pass).""], ""variants"": [""Insertion Sort"", ""Bubble Sort""], ""visual_hooks"": [""animate_gap_reduction(gap)"", ""highlight_gap_groups(gap, arr)""], ""reasoning_map"": {""problem"": ""Insertion sort is O(n^2) due to adjacent swaps only."", ""solution"": ""First sort elements far apart to reduce large inversions quickly."", ""tradeoffs"": ""Better than O(n^2) average but complex gap analysis; not stable.""}}"
Concept + Code,"{""title"": ""Heap Sort"", ""summary"": ""A comparison-based sorting algorithm that uses a max-heap to repeatedly extract the maximum element and build a sorted array."", ""key_points"": [""O(n log n) guaranteed time complexity."", ""In-place sorting; O(1) extra space."", ""Not stable.""], ""code"": {""c"": ""void heapify(int arr[], int n, int i) {\n    int largest = i, l = 2*i+1, r = 2*i+2;\n    if (l < n && arr[l] > arr[largest]) largest = l;\n    if (r < n && arr[r] > arr[largest]) largest = r;\n    if (largest != i) { swap(&arr[i], &arr[largest]); heapify(arr, n, largest); }\n}\nvoid heapSort(int arr[], int n) {\n    for (int i = n/2-1; i >= 0; i--) heapify(arr, n, i);\n    for (int i = n-1; i > 0; i--) { swap(&arr[0], &arr[i]); heapify(arr, i, 0); }\n}"", ""python"": ""import heapq\ndef heap_sort(arr):\n    heapq.heapify(arr)\n    return [heapq.heappop(arr) for _ in range(len(arr))]""}, ""execution_steps"": [""1. Build a max-heap from the input array (O(n))."", ""2. Swap root (max) with the last element."", ""3. Reduce heap size by 1 and heapify from root."", ""4. Repeat step 2-3 until heap size is 1.""], ""variants"": [""Merge Sort"", ""Quick Sort""], ""visual_hooks"": [""animate_heapify(root, n)"", ""highlight_max_extraction(root)""], ""reasoning_map"": {""problem"": ""Need guaranteed O(n log n) with O(1) space (unlike Merge Sort)."", ""solution"": ""Exploit max-heap property to extract sorted elements."", ""tradeoffs"": ""Guaranteed O(n log n) and O(1) space but poor cache locality; outperformed by Quick Sort in practice.""}}"
Concept + Code,"{""title"": ""DFS (Depth First Search)"", ""summary"": ""A graph traversal algorithm that explores as far as possible along each branch before backtracking, using a stack (or recursion)."", ""key_points"": [""Uses stack (explicit or call stack) for traversal."", ""Time complexity O(V + E)."", ""Used for topological sort, cycle detection, connected components.""], ""code"": {""c"": ""void dfs(int graph[][V], int visited[], int v) {\n    visited[v] = 1;\n    printf(\""%d \"", v);\n    for (int i = 0; i < V; i++)\n        if (graph[v][i] && !visited[i])\n            dfs(graph, visited, i);\n}"", ""python"": ""def dfs(graph, node, visited=None):\n    if visited is None:\n        visited = set()\n    visited.add(node)\n    print(node)\n    for neighbor in graph[node]:\n        if neighbor not in visited:\n            dfs(graph, neighbor, visited)""}, ""execution_steps"": [""1. Start at source node. Mark as visited."", ""2. Recursively visit each unvisited neighbor."", ""3. Backtrack when no unvisited neighbors remain."", ""4. Continue until all reachable nodes are visited.""], ""variants"": [""BFS (Breadth First Search)""], ""visual_hooks"": [""animate_dfs_path(node)"", ""highlight_visited(node)"", ""show_backtrack(node)""], ""reasoning_map"": {""problem"": ""Need to explore all reachable paths in a graph."", ""solution"": ""Commit to one direction until stuck, then backtrack."", ""tradeoffs"": ""Memory-efficient for deep graphs; may not find shortest path (use BFS for that).""}}"
Concept + Code,"{""title"": ""BFS (Breadth First Search)"", ""summary"": ""A graph traversal algorithm that explores nodes level by level using a queue, guaranteeing shortest path in unweighted graphs."", ""key_points"": [""Uses a queue for level-order traversal."", ""Time complexity O(V + E)."", ""Finds shortest path in unweighted graphs.""], ""code"": {""c"": ""void bfs(int graph[][V], int start) {\n    int visited[V] = {0}, queue[V], front = 0, rear = 0;\n    visited[start] = 1; queue[rear++] = start;\n    while (front < rear) {\n        int v = queue[front++]; printf(\""%d \"", v);\n        for (int i = 0; i < V; i++)\n            if (graph[v][i] && !visited[i]) {\n                visited[i] = 1; queue[rear++] = i;\n            }\n    }\n}"", ""python"": ""from collections import deque\ndef bfs(graph, start):\n    visited = set()\n    queue = deque([start])\n    visited.add(start)\n    while queue:\n        node = queue.popleft()\n        print(node)\n        for neighbor in graph[node]:\n            if neighbor not in visited:\n                visited.add(neighbor)\n                queue.append(neighbor)""}, ""execution_steps"": [""1. Enqueue start node, mark visited."", ""2. Dequeue front node, print/process it."", ""3. Enqueue all unvisited neighbors, marking them visited."", ""4. Repeat until queue is empty.""], ""variants"": [""DFS (Depth First Search)"", ""Dijkstra's Algorithm""], ""visual_hooks"": [""animate_bfs_level(level)"", ""highlight_queue_state(queue)""], ""reasoning_map"": {""problem"": ""Need shortest path in terms of hop count in an unweighted graph."", ""solution"": ""Explore all nodes at distance d before exploring d+1."", ""tradeoffs"": ""Guaranteed shortest path but uses more memory than DFS for wide graphs.""}}"
Concept + Code,"{""title"": ""Infix to Postfix Conversion"", ""summary"": ""Converts a standard infix expression (e.g., A+B*C) to postfix (e.g., ABC*+) using a stack to respect operator precedence without parentheses."", ""key_points"": [""Postfix (RPN) eliminates need for parentheses."", ""Operator stack is used to hold pending operators by precedence."", ""Foundation for expression tree building and compiler design.""], ""code"": {""python"": ""def infix_to_postfix(expr):\n    prec = {'+': 1, '-': 1, '*': 2, '/': 2, '^': 3}\n    stack, output = [], []\n    for ch in expr:\n        if ch.isalnum():\n            output.append(ch)\n        elif ch == '(':\n            stack.append(ch)\n        elif ch == ')':\n            while stack and stack[-1] != '(':\n                output.append(stack.pop())\n            stack.pop()\n        else:\n            while stack and stack[-1] != '(' and prec.get(stack[-1], 0) >= prec.get(ch, 0):\n                output.append(stack.pop())\n            stack.append(ch)\n    while stack:\n        output.append(stack.pop())\n    return ''.join(output)""}, ""execution_steps"": [""1. Scan expression left to right."", ""2. Operand \u2192 add to output."", ""3. '(' \u2192 push to stack. ')' \u2192 pop stack to output until '('."", ""4. Operator \u2192 pop higher/equal precedence ops from stack, then push."", ""5. End: pop all remaining ops from stack to output.""], ""variants"": [""Postfix Evaluation"", ""Expression Tree""], ""visual_hooks"": [""animate_operator_push(op)"", ""show_precedence_comparison(op1, op2)""], ""reasoning_map"": {""problem"": ""Evaluating infix expressions requires tracking parentheses and precedence."", ""solution"": ""Convert to postfix so evaluation is a simple left-to-right stack scan."", ""tradeoffs"": ""O(n) conversion; postfix evaluation is simpler and ideal for stack-based VMs.""}}"
Concept + Code,"{""title"": ""Postfix Evaluation"", ""summary"": ""Evaluates a postfix (Reverse Polish Notation) expression by scanning left to right, pushing operands and applying operators to the top two stack elements."", ""key_points"": [""No parentheses or precedence rules needed."", ""O(n) time complexity."", ""Used in stack-based calculators and virtual machines.""], ""code"": {""python"": ""def eval_postfix(expr):\n    stack = []\n    for token in expr.split():\n        if token.lstrip('-').isdigit():\n            stack.append(int(token))\n        else:\n            b, a = stack.pop(), stack.pop()\n            if token == '+': stack.append(a + b)\n            elif token == '-': stack.append(a - b)\n            elif token == '*': stack.append(a * b)\n            elif token == '/': stack.append(int(a / b))\n    return stack[0]""}, ""execution_steps"": [""1. Scan postfix expression left to right."", ""2. Operand \u2192 push to stack."", ""3. Operator \u2192 pop two operands, apply operator, push result."", ""4. Final stack item is the result.""], ""variants"": [""Infix to Postfix Conversion"", ""Expression Tree""], ""visual_hooks"": [""animate_stack_push(operand)"", ""animate_stack_pop_apply(op)""], ""reasoning_map"": {""problem"": ""Infix expressions are hard to evaluate directly."", ""solution"": ""Evaluate postfix using simple stack push/pop operations."", ""tradeoffs"": ""Linearly efficient; used in bytecode interpreters and scientific calculators.""}}"
Concept + Code,"{""title"": ""Adjacency Matrix"", ""summary"": ""A 2D matrix representation of a graph where matrix[i][j] = 1 if there is an edge from vertex i to vertex j."", ""key_points"": [""O(1) edge lookup but O(V^2) space."", ""Best for dense graphs."", ""Simple to implement and understand.""], ""code"": {""c"": ""int matrix[5][5] = {0};\n// Add edge\nmatrix[u][v] = 1; // for directed\nmatrix[v][u] = 1; // for undirected"", ""python"": ""# Build adjacency matrix\nV = 5\nmatrix = [[0] * V for _ in range(V)]\ndef add_edge(u, v):\n    matrix[u][v] = 1\n    matrix[v][u] = 1  # undirected""}, ""execution_steps"": [""1. Initialize V x V matrix with zeros."", ""2. For each edge (u, v), set matrix[u][v] = 1."", ""3. For undirected graphs also set matrix[v][u] = 1."", ""4. Check edge existence in O(1).""], ""variants"": [""Adjacency List""], ""visual_hooks"": [""highlight_edge_cell(u, v)"", ""animate_matrix_fill()""], ""reasoning_map"": {""problem"": ""Need to quickly check if edge (u, v) exists."", ""solution"": ""Use 2D array for O(1) lookup."", ""tradeoffs"": ""O(V^2) space wasteful for sparse graphs; use Adjacency List instead.""}}"
